Item Number,Commodity Type,Agile Commodity Code,Component Supplier Name,Volume YTD, Spend YTD , Savings YTD , Price YTD 
01009280003,Plastics,Plastics - Assembly,Sanmina Corporation.,20, $87.04 , $-   , $4.35 
01009281004,Plastics,Plastics - Assembly,Sanmina Corporation.,2769," $9,431.21 ", $-   , $3.41 
01009319001,Power,Power - Power Supply - Adaptor,Sanmina Corporation.,10, $387.35 , $(17.35), $38.74 
01009328004,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
01009590001,Plastics,Plastics - Assembly,Sanmina Corporation.,7308," $21,120.12 ", $-   , $2.89 
01009590002,Plastics,Plastics - Assembly,Sanmina Corporation.,1012," $3,399.31 ", $-   , $3.36 
01009591001,Plastics,Plastics - Assembly,Sanmina Corporation.,7308," $20,754.72 ", $-   , $2.84 
01009591002,Plastics,Plastics - Assembly,Sanmina Corporation.,1012," $3,187.80 ", $-   , $3.15 
01009594001,Acoustics,Acoustic - Microphone Assembly,Sanmina Corporation.,8320," $27,489.28 ", $-   , $3.30 
01009595001,Flex,Flex - Standard,Sanmina Corporation.,8320," $82,808.96 ", $-   , $9.95 
01009604001,Flex,Flex - Standard,Sanmina Corporation.,5817," $55,261.50 ", $-   , $9.50 
01009667001,Mech Assembly,Mechanical Assembly - Subassembly,Sanmina Corporation.,3223," $9,075.97 ", $-   , $2.82 
01009668001,Plastics,Plastics - Assembly,Sanmina Corporation.,3223," $7,625.62 ", $-   , $2.37 
01013095001,EMS,EMS - Finished Goods,Sanmina Corporation.,4466," $8,262.10 ", $-   , $1.85 
01015055001,PCB,PCB - Rigid Standard,Sanmina Corporation,885," $63,507.60 ", $-   , $71.76 
01015065001,PCB,PCB - Rigid Standard,Sanmina Corporation,2, $105.12 , $(4.86), $52.56 
01015065002,PCB,PCB - Rigid Standard,Sanmina Corporation,386," $19,350.18 "," $19,350.18 ", $50.13 
01015066001,PCB,PCB - Rigid Standard,Sanmina Corporation,60," $3,036.74 ", $-   , $50.61 
0102709K02-CONV,EMS,EMS-CONV,Sanmina Corporation.,0, $-   , $-   , $-   
0102711K12-CONV,EMS,EMS-CONV,Sanmina-SCI Systems (Malaysia) Sdn Bhd,680, $292.67 , $(14.94), $0.44 
0102711K25,EMS,EMS - Finished Goods,Sanmina-SCI Systems (Malaysia) Sdn Bhd,0, $-   , $-   , $-   
0102711K25-CONV,EMS,EMS-CONV,Sanmina-SCI Systems (Malaysia) Sdn Bhd,1280, $538.11 , $(22.39), $0.43 
0102713K18,Plastics,Plastics - Assembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104016J86,Mech Assembly,Mechanical Assembly - Subassembly,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104016J86-CONV,Mech Assembly,MSA-CONV,Banshing Industrial Co (Pte) Ltd,0, $-   , $-   , $-   
0104018J03,Mech Assembly,Mechanical Assembly - Subassembly,Pan International Electronics (Malaysia) Sdn Bhd,37, $85.06 , $0.47 , $2.30 
